timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
1759849231.2578938,12.9,29.5,3.0,54.0
1759849231.3735764,4.7,29.5,3.0,54.0
1759849231.4738734,10.4,29.5,3.0,54.0
1759849231.574131,0.0,29.5,3.0,53.0
1759849231.6743686,2.8,29.5,3.0,53.0
1759849231.7748194,9.6,29.5,3.0,53.0
1759849231.8750262,6.5,29.5,3.0,53.0
1759849231.9754605,14.8,29.5,3.0,53.0
1759849232.075867,12.6,29.5,26.0,52.0
1759849232.176623,16.3,29.5,26.0,52.0
1759849232.2773185,19.0,29.5,26.0,52.0
1759849232.3779278,18.8,29.5,26.0,52.0
1759849232.4783118,24.8,29.5,26.0,52.0
1759849232.5789692,23.5,29.5,26.0,53.0
1759849232.679634,26.5,29.5,26.0,53.0
1759849232.7800426,19.6,29.5,26.0,53.0
1759849232.880714,15.0,29.5,26.0,53.0
1759849232.9814587,19.8,29.5,26.0,53.0
1759849233.0818734,14.4,29.5,41.0,54.0
1759849233.1822317,19.3,29.5,41.0,54.0
1759849233.2825084,19.6,29.5,41.0,54.0
1759849233.3828478,16.1,29.5,41.0,54.0
1759849233.4834206,23.3,29.5,41.0,54.0
1759849233.5839794,22.5,29.5,41.0,55.0
1759849233.6847198,20.6,29.5,41.0,55.0
1759849233.7849693,19.0,29.5,41.0,55.0
1759849233.8856463,18.0,29.5,41.0,55.0
1759849233.9863913,21.9,29.5,41.0,55.0
1759849234.0870576,20.2,29.5,40.0,55.0
1759849234.1875367,22.2,29.5,40.0,55.0
1759849234.2880704,17.1,29.5,40.0,55.0
1759849234.3884642,19.8,29.5,40.0,55.0
1759849234.4887888,21.0,29.5,40.0,55.0
1759849234.5892713,17.1,29.5,40.0,55.0
1759849234.6897287,22.3,29.5,40.0,55.0
1759849234.7901988,19.1,29.5,40.0,55.0
1759849234.8907602,17.5,29.5,40.0,55.0
1759849234.9914086,22.4,29.5,40.0,55.0
1759849235.0920918,22.4,29.5,40.0,55.0
1759849235.1924703,19.6,29.6,40.0,55.0
1759849235.2934618,17.5,29.6,40.0,55.0
1759849235.3943064,30.0,29.5,40.0,55.0
1759849235.4952085,25.0,29.5,40.0,55.0
1759849235.5958164,13.4,29.5,40.0,55.0
1759849235.6964471,23.7,29.5,40.0,55.0
1759849235.797062,18.2,29.5,40.0,55.0
1759849235.897694,21.9,29.5,40.0,55.0
1759849235.9981701,23.5,29.5,40.0,55.0
1759849236.0989451,18.2,29.5,42.0,55.0
1759849236.1995723,26.9,29.5,42.0,55.0
1759849236.3002963,13.4,29.5,42.0,55.0
1759849236.4009507,20.4,29.5,42.0,55.0
1759849236.501261,23.6,29.5,42.0,55.0
1759849236.6017613,25.9,29.5,42.0,55.0
1759849236.7023132,23.4,29.5,42.0,55.0
1759849236.802641,22.2,29.5,42.0,55.0
1759849236.9031672,16.5,29.5,42.0,55.0
1759849237.0039043,17.5,29.5,40.0,55.0
1759849237.1043935,18.8,29.5,40.0,55.0
1759849237.2050679,25.0,29.5,40.0,55.0
1759849237.305727,18.9,29.5,40.0,55.0
1759849237.4061327,49.1,29.5,40.0,55.0
1759849237.50672,29.4,29.3,40.0,55.0
1759849237.6073403,17.8,29.3,40.0,55.0
1759849237.707939,24.8,29.3,40.0,55.0
1759849237.8084857,17.2,29.3,40.0,55.0
1759849237.9092104,16.3,29.3,40.0,55.0
1759849238.009814,22.6,29.3,40.0,55.0
1759849238.1105032,43.7,29.3,40.0,55.0
1759849238.211273,35.6,29.3,40.0,55.0
1759849238.311674,13.3,29.3,40.0,55.0
1759849238.4122143,20.4,29.3,40.0,55.0
1759849238.512741,21.1,29.3,40.0,55.0
1759849238.613429,21.8,29.3,40.0,55.0
1759849238.7137818,17.1,29.3,40.0,55.0
1759849238.8144178,17.0,29.3,40.0,55.0
1759849238.9149015,18.3,29.3,40.0,55.0
1759849239.0155046,28.8,29.2,39.0,55.0
1759849239.1161559,15.9,29.2,39.0,55.0
1759849239.216442,17.9,29.2,39.0,55.0
1759849239.3170245,19.0,29.2,39.0,55.0
1759849239.4176817,19.8,29.2,39.0,55.0
1759849239.5183146,25.7,29.2,39.0,56.0
1759849239.6188226,20.2,29.2,39.0,56.0
1759849239.7193053,20.6,29.2,39.0,56.0
1759849239.8199558,19.8,29.2,39.0,56.0
1759849239.9205518,17.5,29.2,39.0,56.0
1759849240.0210803,23.1,29.2,40.0,56.0
1759849240.121444,17.2,29.2,40.0,56.0
1759849240.22193,23.5,29.2,40.0,56.0
1759849240.3223534,17.4,29.2,40.0,56.0
1759849240.4227827,19.0,29.2,40.0,56.0
1759849240.523145,22.9,29.2,40.0,56.0
1759849240.623782,13.9,29.2,40.0,56.0
1759849240.7242088,20.2,29.2,40.0,56.0
1759849240.824716,18.2,29.2,40.0,56.0
1759849240.9254806,14.4,29.2,40.0,56.0
1759849241.0260026,22.3,29.2,40.0,56.0
1759849241.1264942,16.3,29.2,40.0,56.0
1759849241.226908,20.2,29.2,40.0,56.0
1759849241.327468,19.8,29.2,40.0,56.0
1759849241.428163,21.9,29.2,40.0,56.0
1759849241.5289865,22.9,29.2,40.0,56.0
1759849241.6295025,20.6,29.2,40.0,56.0
1759849241.7298799,20.0,29.2,40.0,56.0
1759849241.8305478,18.0,29.2,40.0,56.0
1759849241.9309788,15.0,29.2,40.0,56.0
1759849242.0313995,17.6,29.2,40.0,56.0
