timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
1759849359.6040125,9.5,29.8,38.0,48.0
1759849359.7108061,19.5,29.8,38.0,48.0
1759849359.8113384,17.3,29.8,38.0,48.0
1759849359.9117677,16.8,29.8,38.0,48.0
1759849360.0121934,16.8,29.8,38.0,48.0
1759849360.1126945,17.8,29.9,39.0,49.0
1759849360.2132018,21.6,29.8,39.0,49.0
1759849360.3137393,19.8,29.8,39.0,49.0
1759849360.4142823,20.7,29.8,39.0,49.0
1759849360.5148096,17.0,29.8,39.0,49.0
1759849360.6153188,23.9,29.8,39.0,48.0
1759849360.715822,15.4,29.8,39.0,48.0
1759849360.8162367,17.8,29.8,39.0,48.0
1759849360.9167063,18.8,29.9,39.0,48.0
1759849361.0171883,24.0,29.9,39.0,48.0
1759849361.1176271,19.3,29.9,40.0,48.0
1759849361.2181332,20.8,29.8,40.0,48.0
1759849361.3186674,22.3,29.8,40.0,48.0
1759849361.4191816,18.6,29.8,40.0,48.0
1759849361.5196898,21.3,29.8,40.0,48.0
1759849361.6202164,15.1,29.8,40.0,48.0
1759849361.7206612,18.1,29.8,40.0,48.0
1759849361.8211281,19.8,29.8,40.0,48.0
1759849361.9215736,20.4,29.8,40.0,48.0
1759849362.02191,20.9,29.8,40.0,48.0
1759849362.1223924,20.0,29.9,40.0,49.0
1759849362.2228487,22.1,29.8,40.0,49.0
1759849362.3233705,23.7,29.8,40.0,49.0
1759849362.4238672,16.2,29.8,40.0,49.0
1759849362.5243828,20.5,29.8,40.0,49.0
1759849362.6248982,19.2,29.8,40.0,49.0
1759849362.7254515,22.4,29.8,40.0,49.0
1759849362.8259237,14.1,29.8,40.0,49.0
1759849362.9263937,16.2,29.8,40.0,49.0
1759849363.0269012,19.1,29.8,40.0,49.0
1759849363.12739,21.8,29.9,40.0,49.0
1759849363.227774,21.6,29.8,40.0,49.0
1759849363.3283277,14.3,29.8,40.0,49.0
1759849363.4288366,18.6,29.8,40.0,49.0
1759849363.529329,18.8,29.8,40.0,49.0
1759849363.629959,14.3,29.8,40.0,49.0
1759849363.7303817,20.5,29.8,40.0,49.0
1759849363.8309455,11.3,29.8,40.0,49.0
1759849363.9314456,20.7,29.9,40.0,49.0
1759849364.0322819,16.2,29.9,40.0,50.0
1759849364.1328354,17.3,29.9,40.0,50.0
1759849364.2333438,22.4,29.8,40.0,50.0
1759849364.3339996,16.7,29.8,40.0,50.0
1759849364.4345448,19.4,29.8,40.0,50.0
