timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
1759849160.3438647,12.8,29.7,38.0,52.0
1759849160.460288,34.3,29.7,38.0,52.0
1759849160.5608096,12.1,29.6,38.0,51.0
1759849160.6612847,17.2,29.7,38.0,51.0
1759849160.761929,17.5,29.7,38.0,51.0
1759849160.8626509,19.0,29.7,38.0,51.0
1759849160.962948,24.1,29.7,38.0,51.0
1759849161.0632765,16.3,29.7,40.0,51.0
1759849161.163816,17.8,29.7,40.0,51.0
1759849161.26459,22.9,29.7,40.0,51.0
1759849161.3653178,20.6,29.7,40.0,51.0
1759849161.4658356,19.1,29.7,40.0,51.0
1759849161.5663352,23.5,29.7,40.0,51.0
1759849161.6668308,19.6,29.7,40.0,51.0
1759849161.7673652,22.9,29.7,40.0,51.0
1759849161.8679492,18.2,29.7,40.0,51.0
1759849161.96843,22.6,29.7,40.0,51.0
1759849162.0689213,16.0,29.7,39.0,51.0
1759849162.1694324,12.0,29.7,39.0,51.0
1759849162.2699869,22.4,29.7,39.0,51.0
1759849162.3705618,24.5,29.6,39.0,51.0
1759849162.470931,34.3,29.6,39.0,51.0
1759849162.5713613,17.1,29.6,39.0,51.0
1759849162.6717777,17.8,29.6,39.0,51.0
1759849162.7723463,28.2,29.6,39.0,51.0
1759849162.872869,17.0,29.6,39.0,51.0
1759849162.9732554,12.5,29.6,39.0,51.0
1759849163.0739658,5.3,29.6,36.0,51.0
1759849163.1744535,17.2,29.6,36.0,51.0
1759849163.274981,21.7,29.6,36.0,51.0
1759849163.3755698,20.8,29.6,36.0,51.0
1759849163.4761522,22.4,29.6,36.0,51.0
1759849163.5771153,18.0,29.6,36.0,52.0
1759849163.6780467,18.2,29.6,36.0,52.0
1759849163.778709,20.0,29.6,36.0,52.0
1759849163.8794942,24.8,29.6,36.0,52.0
1759849163.9802601,30.5,29.6,36.0,52.0
1759849164.0808735,22.0,29.6,39.0,52.0
1759849164.1811826,22.6,29.6,39.0,52.0
1759849164.2817736,29.7,29.6,39.0,52.0
1759849164.3822894,21.7,29.6,39.0,52.0
1759849164.4826667,29.6,29.6,39.0,52.0
1759849164.5830145,18.8,29.6,39.0,52.0
1759849164.6835566,20.0,29.6,39.0,52.0
1759849164.784121,19.4,29.6,39.0,52.0
1759849164.8847072,16.4,29.6,39.0,52.0
1759849164.98503,24.5,29.6,39.0,52.0
1759849165.085707,26.1,29.6,41.0,52.0
1759849165.1861663,10.4,29.6,41.0,52.0
1759849165.2864156,3.8,29.6,41.0,52.0
1759849165.3866785,0.0,29.6,41.0,52.0
1759849165.487093,8.6,29.6,41.0,52.0
1759849165.5878232,2.9,29.6,41.0,51.0
1759849165.688098,7.0,29.6,41.0,51.0
1759849165.788831,5.5,29.6,41.0,51.0
1759849165.8891108,2.1,29.6,41.0,51.0
1759849165.9893312,13.1,29.6,41.0,51.0
1759849166.0895422,0.0,29.6,4.0,51.0
1759849166.189768,1.0,29.6,4.0,51.0
1759849166.2900224,7.3,29.6,4.0,51.0
1759849166.390383,16.0,29.6,4.0,51.0
1759849166.4910638,56.6,29.6,4.0,51.0
1759849166.5914917,27.7,29.3,4.0,52.0
1759849166.6920066,19.8,29.3,4.0,52.0
1759849166.7925332,18.3,29.3,4.0,52.0
1759849166.8930938,18.2,29.3,4.0,52.0
1759849166.9937634,29.7,29.3,4.0,52.0
1759849167.094501,16.2,29.3,40.0,52.0
1759849167.1952176,27.6,29.3,40.0,52.0
1759849167.295637,16.8,29.3,40.0,52.0
1759849167.3963351,25.2,29.3,40.0,52.0
1759849167.496891,22.9,29.3,40.0,52.0
1759849167.5976079,12.4,29.3,40.0,52.0
1759849167.698044,28.8,29.3,40.0,52.0
1759849167.7985392,13.4,29.3,40.0,52.0
1759849167.898874,21.4,29.3,40.0,52.0
1759849167.9994612,25.7,29.3,40.0,52.0
1759849168.1001408,14.2,29.3,40.0,52.0
1759849168.2006767,19.6,29.3,40.0,52.0
1759849168.3010547,16.0,29.3,40.0,52.0
1759849168.4013588,17.3,29.3,40.0,52.0
1759849168.5019326,24.5,29.3,40.0,53.0
1759849168.6023915,19.3,29.3,40.0,53.0
1759849168.7028153,16.7,29.3,40.0,53.0
1759849168.803362,18.5,29.3,40.0,53.0
1759849168.9041064,20.2,29.3,40.0,53.0
1759849169.0043821,17.3,29.3,39.0,53.0
1759849169.1047492,24.8,29.3,39.0,53.0
1759849169.2051954,21.9,29.3,39.0,53.0
1759849169.30571,17.6,29.3,39.0,53.0
1759849169.4062998,19.0,29.3,39.0,53.0
1759849169.5068908,22.4,29.3,39.0,53.0
1759849169.6074464,19.6,29.3,39.0,53.0
1759849169.707784,17.9,29.3,39.0,53.0
1759849169.808435,20.7,29.3,39.0,53.0
1759849169.9090192,17.8,29.3,39.0,53.0
1759849170.0095785,24.1,29.3,40.0,53.0
1759849170.110565,18.0,29.3,40.0,53.0
1759849170.2114613,24.1,29.3,40.0,53.0
1759849170.3120358,18.0,29.3,40.0,53.0
1759849170.4128475,20.0,29.3,40.0,53.0
1759849170.5133367,20.4,29.3,40.0,53.0
1759849170.6140347,19.8,29.3,40.0,53.0
1759849170.7145128,24.6,29.3,40.0,53.0
1759849170.8148296,13.3,29.3,40.0,53.0
1759849170.9154112,17.6,29.3,40.0,53.0
1759849171.0159428,20.2,29.3,40.0,53.0
1759849171.1165187,18.3,29.3,40.0,53.0
1759849171.2171533,24.8,29.3,40.0,53.0
1759849171.3179333,21.8,29.3,40.0,53.0
1759849171.4185734,23.5,29.3,40.0,53.0
1759849171.5191004,27.7,29.3,40.0,53.0
1759849171.6196902,14.0,29.3,40.0,53.0
1759849171.7207046,24.0,29.3,40.0,53.0
1759849171.8211906,21.1,29.3,40.0,53.0
1759849171.921813,16.0,29.3,40.0,53.0
1759849172.022139,23.7,29.3,40.0,53.0
1759849172.1225164,10.8,29.3,40.0,53.0
