timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
1759848369.5187562,17.3,28.8,39.0,50.0
1759848369.626483,22.4,28.8,39.0,50.0
1759848369.7268963,28.0,28.8,39.0,50.0
1759848369.8273413,14.3,28.8,41.0,50.0
1759848369.9280064,21.1,28.8,41.0,50.0
1759848370.0285165,30.4,28.8,41.0,50.0
1759848370.1289642,18.2,28.8,41.0,50.0
1759848370.229354,25.0,28.8,41.0,50.0
1759848370.330163,16.2,28.8,41.0,50.0
1759848370.4309127,18.5,28.8,41.0,50.0
1759848370.5313232,18.1,28.8,41.0,50.0
1759848370.6318314,37.1,28.8,41.0,50.0
1759848370.7328897,54.0,28.6,41.0,50.0
1759848370.833354,19.6,28.6,40.0,50.0
1759848370.933937,16.8,28.6,40.0,50.0
1759848371.034887,23.3,28.6,40.0,50.0
1759848371.135421,17.1,28.6,40.0,50.0
1759848371.2358923,22.9,28.6,40.0,50.0
1759848371.3366768,31.9,28.6,40.0,50.0
1759848371.437417,32.0,28.6,40.0,50.0
1759848371.538236,24.6,28.6,40.0,50.0
1759848371.6388466,22.1,28.6,40.0,50.0
1759848371.739556,17.3,28.6,40.0,50.0
1759848371.839918,20.7,28.6,42.0,50.0
1759848371.9403815,18.2,28.6,42.0,50.0
1759848372.040983,18.4,28.6,42.0,50.0
1759848372.1414967,25.5,28.6,42.0,50.0
1759848372.2420852,24.1,28.6,42.0,50.0
1759848372.3424714,18.2,28.6,42.0,51.0
1759848372.442991,16.2,28.6,42.0,51.0
1759848372.5435498,25.2,28.6,42.0,51.0
1759848372.6440742,13.3,28.6,42.0,51.0
1759848372.7445724,25.4,28.6,42.0,51.0
1759848372.8450572,17.2,28.6,40.0,51.0
1759848372.945477,20.0,28.6,40.0,51.0
1759848373.0460403,23.1,28.6,40.0,51.0
1759848373.1465049,20.4,28.6,40.0,51.0
1759848373.246984,19.2,28.6,40.0,51.0
1759848373.347458,8.1,28.5,40.0,51.0
1759848373.4476953,2.0,28.5,40.0,51.0
1759848373.5479484,7.3,28.5,40.0,51.0
1759848373.6481972,8.6,28.5,40.0,51.0
1759848373.7485218,11.9,28.5,40.0,51.0
1759848373.8487706,1.0,28.5,5.0,50.0
1759848373.9494195,0.0,28.6,5.0,50.0
1759848374.049661,8.5,28.6,5.0,50.0
1759848374.149868,0.0,28.6,5.0,50.0
1759848374.2505305,7.8,28.6,5.0,50.0
1759848374.3511732,0.0,28.6,5.0,50.0
1759848374.4513905,0.0,28.6,5.0,50.0
1759848374.5518465,15.3,28.6,5.0,50.0
1759848374.6526556,25.0,28.6,5.0,50.0
1759848374.753168,27.2,28.6,5.0,50.0
1759848374.8538818,15.3,28.6,42.0,50.0
1759848374.954348,28.2,28.6,42.0,50.0
1759848375.054697,22.5,28.6,42.0,50.0
1759848375.1553085,19.2,28.6,42.0,50.0
1759848375.255932,24.6,28.6,42.0,50.0
1759848375.3566828,17.0,28.6,42.0,51.0
1759848375.4571772,17.0,28.6,42.0,51.0
1759848375.557646,22.8,28.6,42.0,51.0
1759848375.658351,19.2,28.6,42.0,51.0
1759848375.759001,25.6,28.6,42.0,51.0
1759848375.8596463,15.2,28.6,40.0,51.0
1759848375.9602218,19.8,28.6,40.0,51.0
1759848376.0606706,20.8,28.6,40.0,51.0
1759848376.161227,16.8,28.6,40.0,51.0
1759848376.2616751,18.4,28.6,40.0,51.0
1759848376.362152,9.4,28.6,40.0,51.0
1759848376.4627507,17.3,28.6,40.0,51.0
1759848376.5632093,23.4,28.6,40.0,51.0
1759848376.6636877,15.9,28.6,40.0,51.0
1759848376.764279,25.0,28.6,40.0,51.0
1759848376.8647108,19.2,28.6,41.0,51.0
1759848376.9652214,22.1,28.6,41.0,51.0
1759848377.0657368,18.0,28.6,41.0,51.0
1759848377.166257,15.0,28.6,41.0,51.0
1759848377.2667546,17.0,28.6,41.0,51.0
1759848377.367216,18.5,28.6,41.0,51.0
1759848377.467694,19.0,28.6,41.0,51.0
1759848377.5682497,25.9,28.6,41.0,51.0
1759848377.6687813,20.4,28.6,41.0,51.0
1759848377.7691715,25.0,28.6,41.0,51.0
1759848377.8697677,18.4,28.6,41.0,51.0
1759848377.9702013,18.4,28.6,41.0,51.0
1759848378.070757,22.9,28.6,41.0,51.0
1759848378.1712713,24.0,28.6,41.0,51.0
1759848378.2717118,21.9,28.6,41.0,51.0
1759848378.3720262,22.3,28.6,41.0,51.0
1759848378.4723694,15.2,28.5,41.0,51.0
1759848378.5728984,26.8,28.5,41.0,51.0
1759848378.6733406,16.3,28.5,41.0,51.0
1759848378.773746,16.8,28.5,41.0,51.0
1759848378.8741927,19.0,28.5,42.0,51.0
1759848378.9748404,20.4,28.6,42.0,51.0
1759848379.0753403,17.0,28.6,42.0,51.0
1759848379.1758454,19.8,28.6,42.0,51.0
1759848379.2763474,20.0,28.6,42.0,51.0
1759848379.3768353,17.8,28.6,42.0,51.0
1759848379.4774172,19.3,28.6,42.0,51.0
1759848379.577985,21.6,28.5,42.0,51.0
1759848379.6784687,22.9,28.5,42.0,51.0
1759848379.7789514,22.9,28.5,42.0,51.0
1759848379.87947,12.2,28.5,43.0,52.0
1759848379.9799507,25.9,28.6,43.0,52.0
1759848380.0804121,16.8,28.6,43.0,52.0
1759848380.1809287,19.3,28.6,43.0,52.0
1759848380.2814047,24.0,28.6,43.0,52.0
1759848380.3818583,20.4,28.6,43.0,52.0
1759848380.482361,22.0,28.6,43.0,52.0
1759848380.5828726,14.0,28.6,43.0,52.0
1759848380.683429,15.0,28.6,43.0,52.0
1759848380.7838676,20.6,28.6,43.0,52.0
1759848380.8843553,19.4,28.6,43.0,52.0
1759848380.984954,23.6,28.6,43.0,52.0
1759848381.0854156,21.5,28.6,43.0,52.0
1759848381.1860032,17.8,28.6,43.0,52.0
1759848381.2864726,22.0,28.6,43.0,52.0
1759848381.3869493,17.3,28.6,43.0,52.0
1759848381.4875193,23.1,28.6,43.0,52.0
1759848381.5882113,19.4,28.5,43.0,52.0
1759848381.688733,20.4,28.5,43.0,52.0
1759848381.7894766,26.4,28.5,43.0,52.0
1759848381.8898077,22.4,28.5,46.0,52.0
1759848381.990325,28.2,28.6,46.0,52.0
1759848382.0908444,16.2,28.6,46.0,52.0
1759848382.1915612,16.7,28.6,46.0,52.0
1759848382.2920275,24.3,28.6,46.0,52.0
1759848382.3925526,19.0,28.6,46.0,52.0
1759848382.4931445,28.2,28.6,46.0,52.0
1759848382.5935636,24.8,28.6,46.0,52.0
1759848382.6940742,17.0,28.6,46.0,52.0
1759848382.7945673,21.0,28.6,46.0,52.0
1759848382.8950267,20.8,28.6,42.0,52.0
1759848382.9955888,22.4,28.6,42.0,52.0
1759848383.0960405,16.2,28.6,42.0,52.0
1759848383.1965806,23.4,28.6,42.0,52.0
1759848383.2971153,24.8,28.6,42.0,52.0
1759848383.397544,18.7,28.6,42.0,52.0
1759848383.497995,22.2,28.6,42.0,52.0
1759848383.598588,20.0,28.6,42.0,52.0
1759848383.6988676,16.0,28.6,42.0,52.0
1759848383.7991972,19.4,28.6,42.0,52.0
1759848383.8996365,21.8,28.6,42.0,52.0
1759848384.0001714,22.4,28.6,42.0,52.0
1759848384.100582,17.4,28.6,42.0,52.0
1759848384.201024,15.3,28.6,42.0,52.0
1759848384.3015344,21.5,28.6,42.0,52.0
1759848384.4020462,20.9,28.6,42.0,52.0
1759848384.5022843,16.3,28.6,42.0,52.0
1759848384.6030424,19.1,28.6,42.0,52.0
1759848384.7036488,15.7,28.6,42.0,52.0
1759848384.804074,20.2,28.6,40.0,52.0
1759848384.9046285,16.8,28.6,40.0,52.0
1759848385.0051355,27.6,28.6,40.0,52.0
1759848385.1056187,20.5,28.6,40.0,52.0
1759848385.2062082,14.3,28.6,40.0,52.0
1759848385.306756,23.3,28.6,40.0,52.0
1759848385.4070895,12.2,28.6,40.0,52.0
1759848385.5074527,21.1,28.6,40.0,52.0
1759848385.6082666,19.4,28.6,40.0,52.0
1759848385.7087088,18.8,28.6,40.0,52.0
1759848385.8092518,25.0,28.6,40.0,52.0
1759848385.9097657,15.3,28.6,40.0,52.0
1759848386.0102243,28.9,28.6,40.0,52.0
1759848386.1107109,18.0,28.6,40.0,52.0
1759848386.2112389,16.8,28.6,40.0,52.0
1759848386.311984,18.6,28.6,40.0,52.0
1759848386.4127247,12.4,28.6,40.0,52.0
1759848386.5132723,21.1,28.6,40.0,52.0
1759848386.6137197,19.2,28.5,40.0,52.0
1759848386.714284,20.0,28.5,40.0,52.0
1759848386.8148398,23.1,28.5,43.0,52.0
1759848386.9152472,20.0,28.5,43.0,52.0
1759848387.0157745,23.6,28.6,43.0,52.0
1759848387.1161978,18.3,28.6,43.0,52.0
1759848387.2167199,18.4,28.6,43.0,52.0
1759848387.3172705,23.8,28.5,43.0,52.0
1759848387.4176905,18.0,28.5,43.0,52.0
1759848387.5183318,19.0,28.5,43.0,52.0
1759848387.6188042,24.3,28.6,43.0,52.0
1759848387.71923,20.8,28.6,43.0,52.0
1759848387.8197591,25.7,28.6,43.0,52.0
1759848387.9203444,19.6,28.6,43.0,52.0
1759848388.021294,22.6,28.6,43.0,52.0
1759848388.1217957,16.2,28.6,43.0,52.0
1759848388.2223728,18.7,28.6,43.0,52.0
1759848388.3228216,24.1,28.6,43.0,52.0
1759848388.423348,23.0,28.6,43.0,52.0
1759848388.5238495,29.9,28.6,43.0,52.0
1759848388.624358,15.3,28.6,43.0,52.0
1759848388.7249372,26.1,28.6,43.0,52.0
1759848388.8253882,20.0,28.6,43.0,52.0
1759848388.9259255,16.2,28.6,43.0,52.0
1759848389.026408,22.2,28.6,43.0,52.0
1759848389.1269112,22.5,28.6,43.0,52.0
1759848389.2274218,21.1,28.6,43.0,52.0
1759848389.3279073,17.0,28.6,43.0,53.0
1759848389.4284132,16.8,28.6,43.0,53.0
1759848389.5289097,27.5,28.6,43.0,53.0
1759848389.6293945,20.6,28.6,43.0,53.0
1759848389.7299292,25.9,28.6,43.0,53.0
1759848389.8304489,18.2,28.6,43.0,53.0
1759848389.9309475,17.8,28.6,43.0,53.0
1759848390.0314248,19.0,28.6,43.0,53.0
1759848390.13189,18.3,28.6,43.0,53.0
1759848390.2325158,25.5,28.6,43.0,53.0
1759848390.332865,18.8,28.6,43.0,53.0
1759848390.43342,22.5,28.6,43.0,53.0
1759848390.5338998,20.2,28.6,43.0,53.0
1759848390.6344283,22.5,28.6,43.0,53.0
1759848390.73489,23.8,28.6,43.0,53.0
1759848390.8354542,20.4,28.6,43.0,53.0
1759848390.9360132,14.9,28.6,43.0,53.0
1759848391.036514,30.2,28.6,43.0,53.0
1759848391.136987,19.8,28.6,43.0,53.0
1759848391.2374542,26.2,28.6,43.0,53.0
1759848391.3380115,18.4,28.6,43.0,53.0
1759848391.4384468,18.2,28.6,43.0,53.0
1759848391.538974,25.6,28.6,43.0,53.0
1759848391.6399214,18.1,28.6,43.0,53.0
1759848391.7403648,22.9,28.6,43.0,53.0
1759848391.8409734,18.3,28.6,43.0,53.0
1759848391.9415538,19.0,28.6,43.0,53.0
1759848392.0420315,20.9,28.6,43.0,53.0
1759848392.1425412,17.2,28.6,43.0,53.0
1759848392.243073,28.2,28.6,43.0,53.0
1759848392.343556,19.0,28.6,43.0,53.0
