timestamp,cpu_usage,memory_usage,gpu_usage,gpu_temp
1759848481.189319,13.2,29.2,42.0,53.0
1759848481.3084488,22.2,29.2,42.0,53.0
1759848481.4090242,12.2,29.2,42.0,53.0
1759848481.5094728,10.5,29.2,42.0,53.0
1759848481.609942,3.1,29.2,42.0,53.0
1759848481.7106054,7.4,29.2,42.0,53.0
1759848481.8112233,1.0,29.2,42.0,53.0
1759848481.911963,2.0,29.2,5.0,52.0
1759848482.012262,2.7,29.2,5.0,52.0
1759848482.1126244,0.0,29.2,5.0,52.0
1759848482.2128806,1.9,29.2,5.0,52.0
1759848482.3131385,0.0,29.2,5.0,52.0
1759848482.4136508,14.4,29.2,5.0,52.0
1759848482.5140586,24.3,29.1,5.0,52.0
1759848482.6145768,18.8,29.1,5.0,52.0
1759848482.715089,23.9,29.1,5.0,52.0
1759848482.8155446,20.0,29.1,42.0,53.0
1759848482.9158742,18.6,29.1,42.0,53.0
1759848483.0164561,21.4,29.2,42.0,53.0
1759848483.1169305,19.1,29.1,42.0,53.0
1759848483.2173684,27.4,29.1,42.0,53.0
1759848483.318096,16.8,29.1,42.0,53.0
1759848483.4186883,20.9,29.1,42.0,53.0
1759848483.5190682,15.4,29.1,42.0,53.0
1759848483.6196318,17.3,29.1,42.0,53.0
1759848483.7200763,18.4,29.1,42.0,53.0
1759848483.8204587,18.8,29.1,43.0,53.0
1759848483.9209883,19.4,29.1,43.0,53.0
1759848484.021516,17.0,29.1,43.0,53.0
1759848484.1220598,20.6,29.1,43.0,53.0
1759848484.2225146,21.2,29.1,43.0,53.0
1759848484.3229325,14.3,29.1,43.0,53.0
1759848484.4236188,16.5,29.1,43.0,53.0
1759848484.524126,22.9,29.1,43.0,53.0
1759848484.6246092,20.8,29.1,43.0,53.0
1759848484.7252245,16.4,29.1,43.0,53.0
1759848484.8261487,17.3,29.1,42.0,53.0
1759848484.9266388,19.6,29.1,42.0,53.0
1759848485.0271373,23.5,29.2,42.0,53.0
1759848485.1276462,14.4,29.2,42.0,53.0
1759848485.2280064,21.6,29.2,42.0,53.0
1759848485.3286564,16.2,29.2,42.0,53.0
1759848485.42915,19.1,29.2,42.0,53.0
1759848485.5295262,21.7,29.1,42.0,53.0
1759848485.6302788,17.2,29.1,42.0,53.0
1759848485.7308917,20.7,29.1,42.0,53.0
1759848485.8316314,17.0,29.1,45.0,53.0
1759848485.932161,17.0,29.1,45.0,53.0
1759848486.032644,16.8,29.1,45.0,53.0
1759848486.1333022,16.7,29.1,45.0,53.0
1759848486.233772,16.2,29.1,45.0,53.0
1759848486.3342838,15.9,29.1,45.0,53.0
1759848486.4347122,17.5,29.1,45.0,53.0
1759848486.5353281,19.2,29.1,45.0,53.0
1759848486.6356905,15.5,29.1,45.0,53.0
1759848486.7362533,21.0,29.1,45.0,53.0
1759848486.8367288,15.1,29.1,42.0,54.0
1759848486.937193,15.8,29.1,42.0,54.0
1759848487.0376472,16.1,29.1,42.0,54.0
1759848487.1382463,14.0,29.1,42.0,54.0
1759848487.2387075,21.0,29.1,42.0,54.0
1759848487.3392355,19.6,29.1,42.0,54.0
1759848487.4397287,32.1,29.1,42.0,54.0
1759848487.5402899,44.1,28.9,42.0,54.0
1759848487.6406417,20.6,28.9,42.0,54.0
1759848487.7412283,18.9,28.9,42.0,54.0
1759848487.8418467,17.3,28.9,41.0,54.0
1759848487.9422762,17.0,28.9,41.0,54.0
1759848488.0428495,16.5,28.9,41.0,54.0
1759848488.1435192,36.4,28.9,41.0,54.0
1759848488.24431,31.6,28.9,41.0,54.0
1759848488.3448482,21.8,28.9,41.0,54.0
1759848488.4454806,17.4,28.9,41.0,54.0
1759848488.5461578,20.4,28.9,41.0,54.0
1759848488.6465707,20.7,28.9,41.0,54.0
1759848488.7468507,19.6,28.9,41.0,54.0
1759848488.847303,18.2,28.9,43.0,54.0
1759848488.947786,13.2,28.9,43.0,54.0
1759848489.048363,17.0,28.9,43.0,54.0
1759848489.149119,17.3,28.9,43.0,54.0
1759848489.2495239,18.1,28.9,43.0,54.0
1759848489.3498862,19.8,28.9,43.0,54.0
1759848489.4503963,13.4,28.9,43.0,54.0
1759848489.550956,17.9,28.9,43.0,54.0
1759848489.6514034,16.4,28.9,43.0,54.0
1759848489.7519279,20.2,28.9,43.0,54.0
1759848489.8523805,17.0,28.9,43.0,54.0
1759848489.952856,20.0,28.9,43.0,54.0
1759848490.0532906,22.4,28.9,43.0,54.0
1759848490.153742,17.1,28.9,43.0,54.0
1759848490.254381,19.4,28.9,43.0,54.0
1759848490.3548467,14.8,28.9,43.0,54.0
1759848490.4552693,14.3,28.9,43.0,54.0
1759848490.5560243,21.9,28.9,43.0,54.0
1759848490.65646,15.1,28.9,43.0,54.0
1759848490.7568827,19.7,28.9,43.0,54.0
1759848490.8575127,21.8,28.9,43.0,54.0
1759848490.9579434,20.0,28.9,43.0,54.0
1759848491.0584507,19.0,28.9,43.0,54.0
1759848491.159034,21.8,28.9,43.0,54.0
1759848491.2597713,22.4,28.9,43.0,54.0
1759848491.3605084,19.2,28.9,43.0,54.0
1759848491.4610364,20.4,28.9,43.0,54.0
1759848491.561536,19.4,28.9,43.0,54.0
1759848491.6620097,19.1,28.9,43.0,54.0
1759848491.7624607,18.1,28.9,43.0,54.0
1759848491.8629692,18.2,28.9,43.0,54.0
1759848491.9635465,21.7,28.9,43.0,54.0
1759848492.06411,16.8,28.9,43.0,54.0
1759848492.1646776,21.2,28.9,43.0,54.0
1759848492.2653923,21.7,28.9,43.0,54.0
1759848492.366407,22.5,28.9,43.0,54.0
1759848492.466913,16.3,28.9,43.0,54.0
1759848492.5675457,22.5,28.9,43.0,54.0
1759848492.6679995,14.8,28.9,43.0,54.0
1759848492.768481,18.1,28.9,43.0,54.0
1759848492.8690202,20.2,28.9,43.0,54.0
1759848492.9695287,16.8,28.9,43.0,54.0
1759848493.070001,20.4,28.9,43.0,54.0
1759848493.1706135,24.3,28.9,43.0,54.0
